datetime,target,hour,day_of_week
2025-01-05 01:00:00,84,1,6
2025-01-05 02:00:00,50,2,6
2025-01-05 03:00:00,54,3,6
2025-01-05 04:00:00,38,4,6
2025-01-05 05:00:00,57,5,6
2025-01-05 06:00:00,62,6,6
2025-01-05 07:00:00,106,7,6
2025-01-05 08:00:00,152,8,6
2025-01-05 09:00:00,119,9,6
2025-01-05 10:00:00,149,10,6
2025-01-05 11:00:00,202,11,6
2025-01-05 12:00:00,176,12,6
2025-01-05 13:00:00,170,13,6
2025-01-05 14:00:00,214,14,6
2025-01-05 15:00:00,195,15,6
2025-01-05 16:00:00,330,16,6
2025-01-05 17:00:00,332,17,6
2025-01-05 18:00:00,302,18,6
2025-01-05 19:00:00,300,19,6
2025-01-05 20:00:00,248,20,6
2025-01-05 21:00:00,142,21,6
2025-01-05 22:00:00,173,22,6
2025-01-05 23:00:00,125,23,6
2025-01-06 00:00:00,107,0,0
2025-01-06 01:00:00,84,1,0
2025-01-06 02:00:00,48,2,0
2025-01-06 03:00:00,34,3,0
2025-01-06 04:00:00,38,4,0
2025-01-06 05:00:00,86,5,0
2025-01-06 06:00:00,161,6,0
2025-01-06 07:00:00,219,7,0
2025-01-06 08:00:00,190,8,0
2025-01-06 09:00:00,362,9,0
2025-01-06 10:00:00,342,10,0
2025-01-06 11:00:00,262,11,0
2025-01-06 12:00:00,243,12,0
2025-01-06 13:00:00,325,13,0
2025-01-06 14:00:00,484,14,0
2025-01-06 15:00:00,362,15,0
2025-01-06 16:00:00,364,16,0
2025-01-06 17:00:00,353,17,0
2025-01-06 18:00:00,248,18,0
2025-01-06 19:00:00,289,19,0
2025-01-06 20:00:00,259,20,0
2025-01-06 21:00:00,153,21,0
2025-01-06 22:00:00,135,22,0
2025-01-06 23:00:00,99,23,0
2025-01-07 00:00:00,87,0,1
2025-01-07 01:00:00,54,1,1
2025-01-07 02:00:00,64,2,1
2025-01-07 03:00:00,50,3,1
2025-01-07 04:00:00,37,4,1
2025-01-07 05:00:00,87,5,1
2025-01-07 06:00:00,187,6,1
2025-01-07 07:00:00,169,7,1
2025-01-07 08:00:00,236,8,1
2025-01-07 09:00:00,397,9,1
2025-01-07 10:00:00,517,10,1
2025-01-07 11:00:00,296,11,1
2025-01-07 12:00:00,386,12,1
2025-01-07 13:00:00,463,13,1
2025-01-07 14:00:00,358,14,1
2025-01-07 15:00:00,512,15,1
2025-01-07 16:00:00,368,16,1
2025-01-07 17:00:00,378,17,1
2025-01-07 18:00:00,324,18,1
2025-01-07 19:00:00,255,19,1
2025-01-07 20:00:00,170,20,1
2025-01-07 21:00:00,240,21,1
2025-01-07 22:00:00,134,22,1
2025-01-07 23:00:00,101,23,1
2025-01-08 00:00:00,72,0,2
2025-01-08 01:00:00,79,1,2
2025-01-08 02:00:00,66,2,2
2025-01-08 03:00:00,35,3,2
2025-01-08 04:00:00,50,4,2
2025-01-08 05:00:00,84,5,2
2025-01-08 06:00:00,163,6,2
2025-01-08 07:00:00,161,7,2
2025-01-08 08:00:00,334,8,2
2025-01-08 09:00:00,373,9,2
2025-01-08 10:00:00,505,10,2
2025-01-08 11:00:00,274,11,2
2025-01-08 12:00:00,317,12,2
2025-01-08 13:00:00,307,13,2
2025-01-08 14:00:00,533,14,2
2025-01-08 15:00:00,552,15,2
2025-01-08 16:00:00,342,16,2
2025-01-08 17:00:00,384,17,2
2025-01-08 18:00:00,357,18,2
2025-01-08 19:00:00,258,19,2
2025-01-08 20:00:00,229,20,2
2025-01-08 21:00:00,169,21,2
2025-01-08 22:00:00,113,22,2
2025-01-08 23:00:00,155,23,2
2025-01-09 00:00:00,118,0,3
2025-01-09 01:00:00,77,1,3
2025-01-09 02:00:00,51,2,3
2025-01-09 03:00:00,43,3,3
2025-01-09 04:00:00,54,4,3
2025-01-09 05:00:00,118,5,3
2025-01-09 06:00:00,176,6,3
2025-01-09 07:00:00,222,7,3
2025-01-09 08:00:00,309,8,3
2025-01-09 09:00:00,285,9,3
2025-01-09 10:00:00,303,10,3
2025-01-09 11:00:00,412,11,3
2025-01-09 12:00:00,354,12,3
2025-01-09 13:00:00,268,13,3
2025-01-09 14:00:00,307,14,3
2025-01-09 15:00:00,469,15,3
2025-01-09 16:00:00,267,16,3
2025-01-09 17:00:00,265,17,3
2025-01-09 18:00:00,293,18,3
2025-01-09 19:00:00,265,19,3
2025-01-09 20:00:00,233,20,3
2025-01-09 21:00:00,159,21,3
2025-01-09 22:00:00,161,22,3
2025-01-09 23:00:00,100,23,3
2025-01-10 00:00:00,72,0,4
2025-01-10 01:00:00,69,1,4
2025-01-10 02:00:00,52,2,4
2025-01-10 03:00:00,48,3,4
2025-01-10 04:00:00,44,4,4
2025-01-10 05:00:00,83,5,4
2025-01-10 06:00:00,91,6,4
2025-01-10 07:00:00,147,7,4
2025-01-10 08:00:00,206,8,4
2025-01-10 09:00:00,271,9,4
2025-01-10 10:00:00,411,10,4
2025-01-10 11:00:00,262,11,4
2025-01-10 12:00:00,346,12,4
2025-01-10 13:00:00,345,13,4
2025-01-10 14:00:00,400,14,4
2025-01-10 15:00:00,361,15,4
2025-01-10 16:00:00,335,16,4
2025-01-10 17:00:00,279,17,4
2025-01-10 18:00:00,196,18,4
2025-01-10 19:00:00,227,19,4
2025-01-10 20:00:00,156,20,4
2025-01-10 21:00:00,114,21,4
2025-01-10 22:00:00,130,22,4
2025-01-10 23:00:00,81,23,4
2025-01-11 00:00:00,114,0,5
2025-01-11 01:00:00,95,1,5
2025-01-11 02:00:00,75,2,5
2025-01-11 03:00:00,55,3,5
2025-01-11 04:00:00,32,4,5
2025-01-11 05:00:00,57,5,5
2025-01-11 06:00:00,57,6,5
2025-01-11 07:00:00,115,7,5
2025-01-11 08:00:00,134,8,5
2025-01-11 09:00:00,145,9,5
2025-01-11 10:00:00,118,10,5
2025-01-11 11:00:00,140,11,5
2025-01-11 12:00:00,218,12,5
2025-01-11 13:00:00,174,13,5
2025-01-11 14:00:00,168,14,5
2025-01-11 15:00:00,217,15,5
2025-01-11 16:00:00,284,16,5
2025-01-11 17:00:00,268,17,5
2025-01-11 18:00:00,250,18,5
2025-01-11 19:00:00,159,19,5
2025-01-11 20:00:00,192,20,5
2025-01-11 21:00:00,194,21,5
2025-01-11 22:00:00,94,22,5
2025-01-11 23:00:00,106,23,5
2025-01-12 00:00:00,129,0,6
2025-01-12 01:00:00,100,1,6
2025-01-12 02:00:00,78,2,6
2025-01-12 03:00:00,79,3,6
2025-01-12 04:00:00,48,4,6
2025-01-12 05:00:00,46,5,6
2025-01-12 06:00:00,83,6,6
2025-01-12 07:00:00,125,7,6
2025-01-12 08:00:00,149,8,6
2025-01-12 09:00:00,175,9,6
2025-01-12 10:00:00,159,10,6
2025-01-12 11:00:00,175,11,6
2025-01-12 12:00:00,248,12,6
2025-01-12 13:00:00,248,13,6
2025-01-12 14:00:00,275,14,6
2025-01-12 15:00:00,288,15,6
2025-01-12 16:00:00,324,16,6
2025-01-12 17:00:00,253,17,6
2025-01-12 18:00:00,259,18,6
2025-01-12 19:00:00,185,19,6
2025-01-12 20:00:00,220,20,6
2025-01-12 21:00:00,126,21,6
2025-01-12 22:00:00,137,22,6
2025-01-12 23:00:00,126,23,6
2025-01-13 00:00:00,78,0,0
2025-01-13 01:00:00,71,1,0
2025-01-13 02:00:00,39,2,0
2025-01-13 03:00:00,33,3,0
2025-01-13 04:00:00,54,4,0
2025-01-13 05:00:00,82,5,0
2025-01-13 06:00:00,105,6,0
2025-01-13 07:00:00,182,7,0
2025-01-13 08:00:00,314,8,0
2025-01-13 09:00:00,299,9,0
2025-01-13 10:00:00,387,10,0
2025-01-13 11:00:00,237,11,0
2025-01-13 12:00:00,230,12,0
2025-01-13 13:00:00,367,13,0
2025-01-13 14:00:00,392,14,0
2025-01-13 15:00:00,438,15,0
2025-01-13 16:00:00,409,16,0
2025-01-13 17:00:00,405,17,0
2025-01-13 18:00:00,273,18,0
2025-01-13 19:00:00,201,19,0
2025-01-13 20:00:00,238,20,0
2025-01-13 21:00:00,155,21,0
2025-01-13 22:00:00,130,22,0
2025-01-13 23:00:00,84,23,0
2025-01-14 00:00:00,72,0,1
2025-01-14 01:00:00,96,1,1
2025-01-14 02:00:00,72,2,1
2025-01-14 03:00:00,56,3,1
2025-01-14 04:00:00,47,4,1
2025-01-14 05:00:00,80,5,1
2025-01-14 06:00:00,119,6,1
2025-01-14 07:00:00,170,7,1
2025-01-14 08:00:00,309,8,1
2025-01-14 09:00:00,452,9,1
2025-01-14 10:00:00,438,10,1
2025-01-14 11:00:00,304,11,1
2025-01-14 12:00:00,446,12,1
2025-01-14 13:00:00,457,13,1
2025-01-14 14:00:00,439,14,1
2025-01-14 15:00:00,480,15,1
2025-01-14 16:00:00,381,16,1
2025-01-14 17:00:00,297,17,1
2025-01-14 18:00:00,274,18,1
2025-01-14 19:00:00,289,19,1
2025-01-14 20:00:00,159,20,1
2025-01-14 21:00:00,154,21,1
2025-01-14 22:00:00,109,22,1
2025-01-14 23:00:00,91,23,1
